id,complaint_id,fraud_type,amount,mule_account_id,withdrawal_atm_id,withdrawal_lat,withdrawal_long,location_name,timestamp,status
1,CMP10000,Job Scam,77068,MULE_RAND_4036,ATM_GEN_49894,26.44931,91.61356,"Rangia, India",2025-01-10 17:07:01,Open
2,CMP10001,Matrimonial Scam,46949,MULE_RAND_7444,ATM_GEN_40596,29.21399,78.95693,"Kashipur, India",2025-04-06 02:33:27,Open
3,CMP10002,UPI Phishing,7748,MULE_BLR_535,ATM_BLR_9003,12.979631537218816,77.60226553146632,Bangalore Urban,2025-03-28 16:28:29,Open
4,CMP10003,Lottery Fraud,42964,MULE_RAND_5424,ATM_GEN_32671,18.51957,73.85535,"Pune, India",2025-10-14 00:24:33,Open
5,CMP10004,Matrimonial Scam,90307,MULE_RAND_3797,ATM_GEN_11256,12.95629,78.27539,"Robertsonpet, India",2025-09-20 19:17:46,Open
6,CMP10005,Investment Scam,247614,MULE_RINGLEADER_01,ATM_DEL_02,28.62936698473009,77.2189585909919,Connaught Place Block B,2025-10-15 15:31:25,Open
7,CMP10006,Lottery Fraud,51749,MULE_RAND_8622,ATM_GEN_71076,21.46527,83.97573,"Sambalpur, India",2025-08-18 07:47:20,Open
8,CMP10007,Matrimonial Scam,39637,MULE_RAND_7376,ATM_GEN_70475,32.55531,76.12647,"Chamba, India",2025-01-13 08:14:09,Open
9,CMP10008,Job Scam,40801,MULE_RAND_9590,ATM_GEN_71538,25.49043,85.94001,"Teghra, India",2025-02-06 09:18:10,Open
10,CMP10009,Investment Scam,66994,MULE_RINGLEADER_01,ATM_DEL_02,28.628867327178426,77.21853664440019,Connaught Place Block B,2025-03-26 21:51:13,Open
11,CMP10010,Matrimonial Scam,80723,MULE_RAND_6160,ATM_GEN_64273,30.21121,74.4818,"Malaut, India",2025-07-16 06:15:09,Open
12,CMP10011,Job Scam,42640,MULE_RAND_4391,ATM_GEN_87917,25.49043,85.94001,"Teghra, India",2025-08-06 23:10:59,Open
13,CMP10012,UPI Phishing,17029,MULE_BLR_925,ATM_BLR_4880,12.966125225792917,77.58670626346724,Bangalore Urban,2025-03-19 05:18:04,Open
14,CMP10013,Lottery Fraud,81138,MULE_RAND_1909,ATM_GEN_99119,27.9247,78.40102,"Chharra, India",2025-03-27 14:39:19,Open
15,CMP10014,Investment Scam,275240,MULE_RINGLEADER_02,ATM_DEL_01,28.63110772805823,77.21631026784031,Connaught Place Block A,2025-06-24 10:55:54,Open
16,CMP10015,Investment Scam,226629,MULE_RINGLEADER_02,ATM_DEL_01,28.631109366368527,77.21634037072161,Connaught Place Block A,2025-08-17 20:21:15,Open
17,CMP10016,Job Scam,54425,MULE_RAND_3144,ATM_GEN_22268,29.21399,78.95693,"Kashipur, India",2025-11-11 08:26:19,Open
18,CMP10017,Lottery Fraud,9128,MULE_RAND_3600,ATM_GEN_87801,18.87813,72.93924,"Uran, India",2025-10-22 16:35:50,Open
19,CMP10018,UPI Phishing,16460,MULE_BLR_947,ATM_BLR_3163,12.962112763416227,77.58105067229786,Bangalore Urban,2025-11-09 22:46:47,Open
20,CMP10019,UPI Phishing,12528,MULE_BLR_299,ATM_BLR_4157,12.97038707728441,77.60645515538607,Bangalore Urban,2025-03-04 00:07:57,Open
21,CMP10020,Job Scam,15220,MULE_RAND_9103,ATM_GEN_28874,32.55531,76.12647,"Chamba, India",2025-05-13 03:21:52,Open
22,CMP10021,UPI Phishing,5919,MULE_BLR_540,ATM_BLR_9627,12.978018604276437,77.6022701270871,Bangalore Urban,2025-04-18 21:56:55,Open
23,CMP10022,Investment Scam,135900,MULE_RINGLEADER_02,ATM_DEL_01,28.631285122305975,77.21651087282447,Connaught Place Block A,2025-03-02 09:10:26,Open
24,CMP10023,Matrimonial Scam,14212,MULE_RAND_4451,ATM_GEN_18028,28.98002,77.70636,"Meerut, India",2025-10-24 12:16:51,Open
25,CMP10024,Lottery Fraud,78961,MULE_RAND_2655,ATM_GEN_76524,21.53889,71.57737,"Gariadhar, India",2025-02-09 16:40:07,Open
26,CMP10025,Matrimonial Scam,2763,MULE_RAND_8765,ATM_GEN_12208,21.46527,83.97573,"Sambalpur, India",2025-05-28 13:10:44,Open
27,CMP10026,Lottery Fraud,4730,MULE_RAND_3671,ATM_GEN_50242,25.87498,86.59611,"Saharsa, India",2025-05-20 09:55:49,Open
28,CMP10027,UPI Phishing,18696,MULE_BLR_594,ATM_BLR_5874,12.987516965312254,77.60375070946992,Bangalore Urban,2025-05-14 13:53:58,Open
29,CMP10028,Investment Scam,457643,MULE_RINGLEADER_02,ATM_DEL_01,28.631699554874853,77.21638541473952,Connaught Place Block A,2025-08-23 11:08:04,Open
30,CMP10029,UPI Phishing,13587,MULE_BLR_409,ATM_BLR_6266,12.958126779173408,77.60273099219177,Bangalore Urban,2025-04-13 17:30:47,Open
31,CMP10030,Matrimonial Scam,45675,MULE_RAND_6196,ATM_GEN_40688,26.11527,86.59509,"Supaul, India",2025-10-11 09:35:35,Open
32,CMP10031,UPI Phishing,4497,MULE_BLR_845,ATM_BLR_8474,12.98976611145979,77.57656815770169,Bangalore Urban,2025-06-28 10:09:00,Open
33,CMP10032,Investment Scam,499776,MULE_RINGLEADER_01,ATM_DEL_02,28.628661959529328,77.21877264911289,Connaught Place Block B,2025-07-28 06:00:29,Open
